Year,Value,Units,Series
2010,2,Number,Number of local breeds with unknown risk status (number)
2011,2,Number,Number of local breeds with unknown risk status (number)
2012,2,Number,Number of local breeds with unknown risk status (number)
2013,2,Number,Number of local breeds with unknown risk status (number)
2014,2,Number,Number of local breeds with unknown risk status (number)
2015,2,Number,Number of local breeds with unknown risk status (number)
2016,2,Number,Number of local breeds with unknown risk status (number)
2017,2,Number,Number of local breeds with unknown risk status (number)
2018,2,Number,Number of local breeds with unknown risk status (number)
2019,2,Number,Number of local breeds with unknown risk status (number)
2020,2,Number,Number of local breeds with unknown risk status (number)
2021,2,Number,Number of local breeds with unknown risk status (number)
2022,2,Number,Number of local breeds with unknown risk status (number)
2023,2,Number,Number of local breeds with unknown risk status (number)
2023,100,Percentage (%),Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%)
2010,2,Number,Number of local breeds (not extinct) (number)
2011,2,Number,Number of local breeds (not extinct) (number)
2012,2,Number,Number of local breeds (not extinct) (number)
2013,2,Number,Number of local breeds (not extinct) (number)
2014,2,Number,Number of local breeds (not extinct) (number)
2015,2,Number,Number of local breeds (not extinct) (number)
2016,2,Number,Number of local breeds (not extinct) (number)
2017,2,Number,Number of local breeds (not extinct) (number)
2018,2,Number,Number of local breeds (not extinct) (number)
2019,2,Number,Number of local breeds (not extinct) (number)
2020,2,Number,Number of local breeds (not extinct) (number)
2021,2,Number,Number of local breeds (not extinct) (number)
2022,2,Number,Number of local breeds (not extinct) (number)
2023,3,Number,Number of local breeds (not extinct) (number)
