Value,Disaggregation combinations using this value,Number of indicators
126258.6,1,1
16928.8418,1,1
17639.5947,1,1
17941.32,1,1
188383.86,1,1
19702.68,1,1
251886.0,1,1
25251.72,1,1
31564.65,1,1
32837.8,1,1
35133.45,1,1
372348.9,1,1
37877.58,1,1
39405.36,1,1
410340.45,1,1
41981.0,1,1
419810.0,1,1
44853.3,1,1
46179.1,1,1
472864.32,1,1
474201.4121,1,1
547250.0,1,1
58410.9656,1,1
59157.725,1,1
601034.22,1,1
631293.0,1,1
646139.0,1,1
656756.0,1,1
70814.15,1,1
71367.7,1,1
78958.1858,1,1
8396.2,1,1
897066.0,1,1
91945.84,1,1
9795.775,1,1
